crop,disease,pesticide,application,precaution
Rice,Blast,Carbendazim,"1. Identify symptoms of Blast on Rice.
2. Prepare Carbendazim solution as per label recommendations.
3. Use a knapsack or motorized sprayer with fine nozzle.
4. Apply at early signs of infection, repeat after 10 days.
5. Ensure uniform coverage on both sides of leaves.
6. Repeat application as needed based on severity.","1. Wear protective clothing, gloves, and mask while handling Carbendazim.
2. Avoid spraying on windy days to reduce drift.
3. Do not allow children or pets near treated areas until dry."
Rice,Brown Spot,Mancozeb,"1. Identify symptoms of Brown Spot on Rice.
2. Prepare Mancozeb solution as per label recommendations.
3. Use a knapsack or motorized sprayer with fine nozzle.
4. Spray at tillering stage.
5. Ensure uniform coverage on both sides of leaves.
6. Repeat application as needed based on severity.","1. Wear protective clothing, gloves, and mask while handling Mancozeb.
2. Avoid spraying on windy days to reduce drift.
3. Do not allow children or pets near treated areas until dry."
Rice,Sheath Blight,Validamycin,"1. Identify symptoms of Sheath Blight on Rice.
2. Prepare Validamycin solution as per label recommendations.
3. Use a knapsack or motorized sprayer with fine nozzle.
4. Spray at 5-day interval once symptoms appear.
5. Ensure uniform coverage on both sides of leaves.
6. Repeat application as needed based on severity.","1. Wear protective clothing, gloves, and mask while handling Validamycin.
2. Avoid spraying on windy days to reduce drift.
3. Do not allow children or pets near treated areas until dry."
Wheat,Leaf Rust,Propiconazole,"1. Identify symptoms of Leaf Rust on Wheat.
2. Prepare Propiconazole solution as per label recommendations.
3. Use a knapsack or motorized sprayer with fine nozzle.
4. Apply at booting stage.
5. Ensure uniform coverage on both sides of leaves.
6. Repeat application as needed based on severity.","1. Wear protective clothing, gloves, and mask while handling Propiconazole.
2. Avoid spraying on windy days to reduce drift.
3. Do not allow children or pets near treated areas until dry."
Wheat,Stripe Rust,Tebuconazole,"1. Identify symptoms of Stripe Rust on Wheat.
2. Prepare Tebuconazole solution as per label recommendations.
3. Use a knapsack or motorized sprayer with fine nozzle.
4. Spray during flag leaf stage.
5. Ensure uniform coverage on both sides of leaves.
6. Repeat application as needed based on severity.","1. Wear protective clothing, gloves, and mask while handling Tebuconazole.
2. Avoid spraying on windy days to reduce drift.
3. Do not allow children or pets near treated areas until dry."
Wheat,Powdery Mildew,Sulphur Dust,"1. Identify symptoms of Powdery Mildew on Wheat.
2. Prepare Sulphur Dust solution as per label recommendations.
3. Use a knapsack or motorized sprayer with fine nozzle.
4. Dust when dew is present.
5. Ensure uniform coverage on both sides of leaves.
6. Repeat application as needed based on severity.","1. Wear protective clothing, gloves, and mask while handling Sulphur Dust.
2. Avoid spraying on windy days to reduce drift.
3. Do not allow children or pets near treated areas until dry."
Sugarcane,Red Rot,Carbendazim,"1. Identify symptoms of Red Rot on Sugarcane.
2. Prepare Carbendazim solution as per label recommendations.
3. Use a knapsack or motorized sprayer with fine nozzle.
4. Apply in furrows and repeat every 15 days.
5. Ensure uniform coverage on both sides of leaves.
6. Repeat application as needed based on severity.","1. Wear protective clothing, gloves, and mask while handling Carbendazim.
2. Avoid spraying on windy days to reduce drift.
3. Do not allow children or pets near treated areas until dry."
Sugarcane,Smut,Tilt,"1. Identify symptoms of Smut on Sugarcane.
2. Prepare Tilt solution as per label recommendations.
3. Use a knapsack or motorized sprayer with fine nozzle.
4. Dip setts before planting.
5. Ensure uniform coverage on both sides of leaves.
6. Repeat application as needed based on severity.","1. Wear protective clothing, gloves, and mask while handling Tilt.
2. Avoid spraying on windy days to reduce drift.
3. Do not allow children or pets near treated areas until dry."
Sugarcane,Wilt,Bavistin,"1. Identify symptoms of Wilt on Sugarcane.
2. Prepare Bavistin solution as per label recommendations.
3. Use a knapsack or motorized sprayer with fine nozzle.
4. Soil drenching at infected zones.
5. Ensure uniform coverage on both sides of leaves.
6. Repeat application as needed based on severity.","1. Wear protective clothing, gloves, and mask while handling Bavistin.
2. Avoid spraying on windy days to reduce drift.
3. Do not allow children or pets near treated areas until dry."
Maize,Downy Mildew,Metalaxyl,"1. Identify symptoms of Downy Mildew on Maize.
2. Prepare Metalaxyl solution as per label recommendations.
3. Use a knapsack or motorized sprayer with fine nozzle.
4. Apply 2 sprays at 10-day interval.
5. Ensure uniform coverage on both sides of leaves.
6. Repeat application as needed based on severity.","1. Wear protective clothing, gloves, and mask while handling Metalaxyl.
2. Avoid spraying on windy days to reduce drift.
3. Do not allow children or pets near treated areas until dry."
Maize,Turcicum Leaf Blight,Mancozeb,"1. Identify symptoms of Turcicum Leaf Blight on Maize.
2. Prepare Mancozeb solution as per label recommendations.
3. Use a knapsack or motorized sprayer with fine nozzle.
4. Spray at disease initiation.
5. Ensure uniform coverage on both sides of leaves.
6. Repeat application as needed based on severity.","1. Wear protective clothing, gloves, and mask while handling Mancozeb.
2. Avoid spraying on windy days to reduce drift.
3. Do not allow children or pets near treated areas until dry."
